,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE
289,20200928010016,CONFOP0,application wait time,100868,3627.158,0.0
290,20200928020043,CONFOP0,application wait time,100868,3565.479,0.0
291,20200928030009,CONFOP0,application wait time,100868,3629.821,0.0
292,20200928040038,CONFOP0,application wait time,100868,3569.797,0.0
293,20200928050008,CONFOP0,application wait time,100868,3631.172,0.0
294,20200928060039,CONFOP0,application wait time,100868,3566.174,0.0
295,20200928070006,CONFOP0,application wait time,100868,3633.774,0.0
296,20200928080039,CONFOP0,application wait time,100868,3563.093,0.0
297,20200928090002,CONFOP0,application wait time,100868,3621.073,0.0
298,20200928100024,CONFOP0,application wait time,100868,3621.707,0.0
299,20200928110045,CONFOP0,application wait time,100868,3563.093,0.0
300,20200928120008,CONFOP0,application wait time,100868,3621.546,0.0
301,20200928130030,CONFOP0,application wait time,100868,3631.056,0.0
302,20200928140101,CONFOP0,application wait time,100868,3573.355,0.0
303,20200928150034,CONFOP0,application wait time,100868,3572.421,0.0
304,20200928000044,SYS$BACKGROUND,application wait time,4109366,,
305,20200928010016,SYS$BACKGROUND,application wait time,4109366,3627.158,0.0
306,20200928020043,SYS$BACKGROUND,application wait time,4109366,3565.479,0.0
307,20200928030009,SYS$BACKGROUND,application wait time,4109366,3629.821,0.0
308,20200928040038,SYS$BACKGROUND,application wait time,4109366,3569.797,0.0
309,20200928050008,SYS$BACKGROUND,application wait time,4109366,3631.172,0.0
310,20200928060039,SYS$BACKGROUND,application wait time,4109366,3566.174,0.0
311,20200928070006,SYS$BACKGROUND,application wait time,4109366,3633.774,0.0
312,20200928080039,SYS$BACKGROUND,application wait time,4109366,3563.093,0.0
313,20200928090002,SYS$BACKGROUND,application wait time,4109366,3621.073,0.0
314,20200928100024,SYS$BACKGROUND,application wait time,4109366,3621.707,0.0
315,20200928110045,SYS$BACKGROUND,application wait time,4109366,3563.093,0.0
316,20200928120008,SYS$BACKGROUND,application wait time,4109366,3621.546,0.0
317,20200928130030,SYS$BACKGROUND,application wait time,4109366,3631.056,0.0
318,20200928140101,SYS$BACKGROUND,application wait time,4109366,3573.355,0.0
319,20200928150034,SYS$BACKGROUND,application wait time,4109366,3572.421,0.0
320,20200928000044,SYS$USERS,application wait time,56182382,,
321,20200928010016,SYS$USERS,application wait time,56260777,3627.158,21.61
322,20200928020043,SYS$USERS,application wait time,56263042,3565.479,0.64
323,20200928030009,SYS$USERS,application wait time,56264566,3629.821,0.42
324,20200928040038,SYS$USERS,application wait time,56290151,3569.797,7.17
325,20200928050008,SYS$USERS,application wait time,56333928,3631.172,12.06
326,20200928060039,SYS$USERS,application wait time,56359561,3566.174,7.19
327,20200928070006,SYS$USERS,application wait time,56374973,3633.774,4.24
328,20200928080039,SYS$USERS,application wait time,56386579,3563.093,3.26
329,20200928090002,SYS$USERS,application wait time,56395412,3621.073,2.44
330,20200928100024,SYS$USERS,application wait time,56402637,3621.707,1.99
331,20200928110045,SYS$USERS,application wait time,56409895,3563.093,2.04
332,20200928120008,SYS$USERS,application wait time,56419137,3621.546,2.55
333,20200928130030,SYS$USERS,application wait time,56421948,3631.056,0.77
334,20200928140101,SYS$USERS,application wait time,56431996,3573.355,2.81
335,20200928150034,SYS$USERS,application wait time,56440461,3572.421,2.37
336,20200928000044,CONFOP0,physical writes,0,,
337,20200928010016,CONFOP0,physical writes,0,3627.158,0.0
338,20200928020043,CONFOP0,physical writes,0,3565.479,0.0
339,20200928030009,CONFOP0,physical writes,0,3629.821,0.0
340,20200928040038,CONFOP0,physical writes,0,3569.797,0.0
341,20200928050008,CONFOP0,physical writes,0,3631.172,0.0
342,20200928060039,CONFOP0,physical writes,0,3566.174,0.0
343,20200928070006,CONFOP0,physical writes,0,3633.774,0.0
344,20200928080039,CONFOP0,physical writes,0,3563.093,0.0
345,20200928090002,CONFOP0,physical writes,0,3621.073,0.0
346,20200928100024,CONFOP0,physical writes,0,3621.707,0.0
347,20200928110045,CONFOP0,physical writes,0,3563.093,0.0
348,20200928120008,CONFOP0,physical writes,0,3621.546,0.0
349,20200928130030,CONFOP0,physical writes,0,3631.056,0.0
350,20200928140101,CONFOP0,physical writes,0,3573.355,0.0
351,20200928150034,CONFOP0,physical writes,0,3572.421,0.0
352,20200928000044,SYS$BACKGROUND,physical writes,6055869,,
353,20200928010016,SYS$BACKGROUND,physical writes,6064497,3627.158,2.38
354,20200928020043,SYS$BACKGROUND,physical writes,6066418,3565.479,0.54
355,20200928030009,SYS$BACKGROUND,physical writes,6068945,3629.821,0.7
356,20200928040038,SYS$BACKGROUND,physical writes,6070703,3569.797,0.49
357,20200928050008,SYS$BACKGROUND,physical writes,6078551,3631.172,2.16
358,20200928060039,SYS$BACKGROUND,physical writes,6103484,3566.174,6.99
359,20200928070006,SYS$BACKGROUND,physical writes,6107047,3633.774,0.98
360,20200928080039,SYS$BACKGROUND,physical writes,6108996,3563.093,0.55
361,20200928090002,SYS$BACKGROUND,physical writes,6111595,3621.073,0.72
362,20200928100024,SYS$BACKGROUND,physical writes,6113495,3621.707,0.52
363,20200928110045,SYS$BACKGROUND,physical writes,6116589,3563.093,0.87
364,20200928120008,SYS$BACKGROUND,physical writes,6118708,3621.546,0.59
365,20200928130030,SYS$BACKGROUND,physical writes,6120994,3631.056,0.63
366,20200928140101,SYS$BACKGROUND,physical writes,6122986,3573.355,0.56
367,20200928150034,SYS$BACKGROUND,physical writes,6125490,3572.421,0.7
368,20200928000044,SYS$USERS,physical writes,431619,,
369,20200928010016,SYS$USERS,physical writes,432219,3627.158,0.17
370,20200928020043,SYS$USERS,physical writes,432219,3565.479,0.0
371,20200928030009,SYS$USERS,physical writes,432219,3629.821,0.0
372,20200928040038,SYS$USERS,physical writes,432219,3569.797,0.0
373,20200928050008,SYS$USERS,physical writes,432819,3631.172,0.17
374,20200928060039,SYS$USERS,physical writes,432819,3566.174,0.0
375,20200928070006,SYS$USERS,physical writes,432819,3633.774,0.0
376,20200928080039,SYS$USERS,physical writes,433419,3563.093,0.17
377,20200928090002,SYS$USERS,physical writes,434019,3621.073,0.17
378,20200928100024,SYS$USERS,physical writes,434619,3621.707,0.17
379,20200928110045,SYS$USERS,physical writes,435219,3563.093,0.17
380,20200928120008,SYS$USERS,physical writes,435819,3621.546,0.17
381,20200928130030,SYS$USERS,physical writes,435819,3631.056,0.0
382,20200928140101,SYS$USERS,physical writes,436419,3573.355,0.17
383,20200928150034,SYS$USERS,physical writes,437019,3572.421,0.17
384,20200928000044,CONFOP0,redo size,46499796,,
385,20200928010016,CONFOP0,redo size,46547192,3627.158,13.07
386,20200928020043,CONFOP0,redo size,46592932,3565.479,12.83
387,20200928030009,CONFOP0,redo size,46638632,3629.821,12.59
388,20200928040038,CONFOP0,redo size,46684376,3569.797,12.81
389,20200928050008,CONFOP0,redo size,46730244,3631.172,12.63
